species_id,id_effort,common_name,family,genus,species,sub_species
1,2,Pipevine Swallowtail,Papilionidae,Battus,philenor, -
2,1,Zebra Swallowtail,Papilionidae,Eurytides,marcellus, -
3,1,Black Swallowtail,Papilionidae,Papilio,polyxenes, -
4,1,Giant Swallowtail,Papilionidae,Papilio,cresphontes, -
5,1,Eastern Tiger Swallowtail,Papilionidae,Papilio,glaucus, -
6,2,Spicebush Swallowtail,Papilionidae,Papilio,troilus, -
7,1,Papilo sp.,Papilionidae,Papilio,-, - (likely polyxenes or glaucus in Indiana)
8,1,Cabbage White,Pieridae,Pieris,rapae, -
9,2,Checkered White,Pieridae,Pontia,protodice, -
10,2,Clouded Sulphur,Pieridae,Colias,philodice, -
11,2,Orange Sulphur,Pieridae,Colias,eurytheme, -
12,1,Cloudless Sulphur,Pieridae,Phoebis,sennae, -
13,1,Colias sp.,Pieridae,Colias,-, - (likely philodice or eurytheme in Indiana)
14,1,Little Yellow,Pieridae,Pyrisitia,lisa, -
15,1,Sleepy Orange,Pieridae,Abaeis,nicippe, -
16,1,Dainty Sulphur,Pieridae,Nathalis,iole, -
17,1,Harvester,Lycaenidae,Feniseca,tarquinius, -
18,1,Coral Hairstreak,Lycaenidae,Satyrium,titus, -
19,1,Banded Hairstreak,Lycaenidae,Satyrium,calanus, -
20,1,Striped Hairstreak,Lycaenidae,Satyrium,liparops, -
21,1,Olive Juniper Hairstreak,Lycaenidae,Callophrys,gryneus," gryneus (subspecies for ""Olive"" form)"
22,1,Gray Hairstreak,Lycaenidae,Strymon,melinus, -
23,1,Red-banded Hairstreak,Lycaenidae,Calycopis,cecrops, -
24,1,Eastern Tailed-Blue,Lycaenidae,Cupido,comyntas, -
25,1,Summer Spring Azure,Lycaenidae,Celastrina,ladon," neglecta (subspecies for ""Summer"" form)"
26,1,American Snout,Nymphalidae,Libytheana,carinenta, -
27,1,Variegated Fritillary,Nymphalidae,Euptoieta,claudia, -
28,1,Great Spangled Fritillary,Nymphalidae,Speyeria,cybele, -
29,1,Meadow Fritillary,Nymphalidae,Boloria,bellona, -
30,2,Silvery Checkerspot,Nymphalidae,Chlosyne,nycteis, -
31,1,Pearl Crescent,Nymphalidae,Phyciodes,tharos, -
32,2,Question Mark,Nymphalidae,Polygonia,interrogationis, -
33,2,Eastern Comma,Nymphalidae,Polygonia,comma, -
34,1,Polygonia Sp.,Nymphalidae,Polygonia,-, - (likely interrogationis or comma in Indiana)
35,1,Mourning Cloak,Nymphalidae,Nymphalis,antiopa, -
36,2,American Lady,Nymphalidae,Vanessa,virginiensis, -
37,2,Painted Lady,Nymphalidae,Vanessa,cardui, -
38,1,Red Admiral,Nymphalidae,Vanessa,atalanta, -
39,1,Common Buckeye,Nymphalidae,Junonia,coenia, -
40,1,Red-Spotted Purple,Nymphalidae,Limenitis,arthemis, astyanax (subspecies astyanax for Red-Spotted Purple)
41,2,Viceroy,Nymphalidae,Limenitis,archippus, -
42,1,Goatweed Leafwing,Nymphalidae,Anaea,andria, -
43,2,Hackberry Emperor,Nymphalidae,Asterocampa,celtis, -
44,2,Tawny Emperor,Nymphalidae,Asterocampa,clyton, -
45,1,Northern Pearly-Eye,Nymphalidae,Lethe,anthedon, -
46,1,Gemmed Satyr,Nymphalidae,Cyllopsis,gemma, -
47,1,Carolina Satyr,Nymphalidae,Hermeuptychia,sosybius, -
48,1,Little Wood-Satyr,Nymphalidae,Megisto,cymela, -
49,1,Common Wood-Nymph,Nymphalidae,Cercyonis,pegala, -
50,1,Monarch,Nymphalidae,Danaus,plexippus, -
51,1,Silver-spotted Skipper,Hesperiidae,Epargyreus,clarus, -
52,1,Hoary Edge,Hesperiidae,Thorybes,bathyllus, -
53,2,Southern Cloudywing,Hesperiidae,Thorybes,bathyllus, -
54,2,Northern Cloudywing,Hesperiidae,Thorybes,pylades, -
55,2,Hayhurst Scallopwing,Hesperiidae,Staphylus,hayhurstii, -
56,3,Dreamy Duskywing,Hesperiidae,Erynnis,icelus, -
57,3,Sleepy Duskywing,Hesperiidae,Erynnis,brizo, -
58,3,Horace's Duskywing,Hesperiidae,Erynnis,horatius, -
59,3,Wild Indigo Duskywing,Hesperiidae,Erynnis,baptisiae, -
60,2,Common Checkered-Skipper,Hesperiidae,Pyrgus,communis, -
61,3,Common Sootywing,Hesperiidae,Pholisora,catullus, -
62,2,Swarthy Skipper,Hesperiidae,Nastra,lherminier, -
63,1,Least Skipper,Hesperiidae,Ancyloxypha,numitor, -
64,1,Fiery Skipper,Hesperiidae,Hylephila,phyleus, -
65,1,Peck's Skipper,Hesperiidae,Polites,peckius, -
66,3,Tawny-edged Skipper,Hesperiidae,Polites,themistocles, -
67,5,Crossline Skipper,Hesperiidae,Polites,origenes, -
68,5,Northern Broken-Dash,Hesperiidae,Wallengrenia,egeremet, -
69,5,Little Glassywing,Hesperiidae,Pompeius,verna, -
70,5,Sachem,Hesperiidae,Atalopedes,campestris, -
71,5,Delaware Skipper,Hesperiidae,Anatrytone,logan, -
72,5,Hobomok Skipper,Hesperiidae,Lon,hobomok, -
73,2,Zabulon Skipper,Hesperiidae,Lon,zabulon, -
74,5,Dion Skipper,Hesperiidae,Euphyes,dion, -
75,2,Dun Skipper,Hesperiidae,Euphyes,vestris, -
76,2,Pepper and Salt Skipper,Hesperiidae,Amblyscirtes,hegon, -
77,1,Skipper Sp.,Hesperiidae,-,-, - (likely Hesperia or Polites in Indiana)
